"Marijuana_Arrest Type","Adult/Juvenile","Arrest Year","Arrest Date","Arrest Time","Age","Defendant Race","Defendant Sex","Charge Description"
"Possession","Adult",2012,"1/1/2012","1:00:00","20","B","F","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/1/2012","1:00:00","23","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/1/2012","1:00:00","46","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/1/2012","4:35:00","30","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/2/2012","14:40:00","29","U","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/2/2012","16:47:00","33","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/2/2012","20:30:00","28","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/3/2012","2:05:00","36","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/3/2012","17:01:00","35","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/3/2012","23:15:00","27","U","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/3/2012","23:15:00","30","U","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/3/2012","23:15:00","43","U","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/4/2012","0:52:00","20","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/4/2012","3:10:00","40","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/4/2012","16:46:00","29","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/4/2012","17:30:00","19","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/4/2012","17:55:00","20","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/4/2012","18:20:00","27","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/4/2012","18:30:00","42","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/4/2012","18:35:00","43","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/4/2012","19:10:00","21","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/4/2012","19:10:00","43","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/4/2012","19:25:00","31","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/4/2012","19:30:00","44","B","F","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/4/2012","19:30:00","44","B","F","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/4/2012","21:18:00","34","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/5/2012","14:03:00","25","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/5/2012","14:03:00","38","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/5/2012","17:10:00","27","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/5/2012","17:10:00","30","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/5/2012","17:12:00","23","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/5/2012","17:53:00","41","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/5/2012","18:30:00","23","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/5/2012","18:30:00","35","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/5/2012","19:36:00","37","B","M","Ucsa Possession Marijuana"
"Distribution","Adult",2012,"1/5/2012","19:37:00","20","B","M","Ucsa Distributing Marijuana"
"Possession with intent to distribute","Adult",2012,"1/5/2012","20:11:00","19","B","M","Ucsa Pwid Marijuana"
"Distribution","Adult",2012,"1/5/2012","20:21:00","34","B","M","Ucsa Distributing Marijuana"
"Possession","Adult",2012,"1/5/2012","20:36:00","29","W","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/5/2012","21:01:00","23","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/5/2012","21:35:00","30","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/5/2012","23:50:00","23","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Juvenile",2012,"1/5/2012","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/6/2012","17:20:00","27","B","F","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/6/2012","17:20:00","50","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/6/2012","17:25:00","38","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/6/2012","17:50:00","20","B","F","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/6/2012","17:50:00","28","B","F","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/6/2012","18:04:00","39","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/6/2012","18:23:00","48","B","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/6/2012","18:23:00","49","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/6/2012","18:24:00","29","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/6/2012","18:24:00","38","B","M","Ucsa Pwid Marijuana"
"Possession","Adult",2012,"1/6/2012","18:30:00","45","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/6/2012","18:50:00","27","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/6/2012","23:30:00","31","B","M","Ucsa Possession Marijuana"
"Possession","Juvenile",2012,"1/6/2012","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/7/2012","1:25:00","30","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/7/2012","6:15:00","18","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/7/2012","6:15:00","18","B","F","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/7/2012","6:15:00","19","B","F","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/7/2012","6:15:00","20","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/7/2012","13:55:00","40","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/7/2012","14:10:00","24","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/7/2012","14:15:00","18","B","F","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/7/2012","14:20:00","23","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/7/2012","15:10:00","18","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/7/2012","15:10:00","44","B","F","Ucsa Possession Marijuana"
"Distribution","Adult",2012,"1/7/2012","15:17:00","24","B","F","Ucsa Distributing Marijuana"
"Possession","Adult",2012,"1/7/2012","15:20:00","35","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/7/2012","16:25:00","44","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/7/2012","16:50:00","22","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/7/2012","17:55:00","33","B","F","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/7/2012","18:20:00","18","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/7/2012","18:55:00","46","B","M","Ucsa Possession Marijuana"
"Distribution","Juvenile",2012,"1/7/2012","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Distributing Marijuana"
"Distribution","Juvenile",2012,"1/7/2012","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Distributing Marijuana"
"Possession","Adult",2012,"1/8/2012","7:30:00","26","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/8/2012","15:42:00","21","U","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/8/2012","19:15:00","22","W","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/8/2012","19:20:00","19","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/8/2012","19:55:00","27","B","M","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/8/2012","21:45:00","40","B","F","Ucsa Possession Marijuana"
"Possession","Juvenile",2012,"1/8/2012","Juvenile","Juvenile","Juvenile","Juvenile","Ucsa Possession Marijuana"
"Possession","Adult",2012,"1/9/2012","10:30:00","25","B","M","Ucsa Possession Marijuana"
"Possession with intent to distribute","Adult",2012,"1/9/2012","20:55:00","23","U","M","Ucsa Pwid Marijuana"
"Possession with intent to distribute","Adult",2012,"1/9/2012","20:55:00","47","B","M","Ucsa Pwid Marijuana"
